Ticker,PrimaryPurpose,QualityScore,ValuationScore,MomentumConfirmationScore,ValueTrapRiskScore,FinalValueCategory,Reason,MissingDataFields
AMD,Momentum Leader,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
AVGO,Momentum Leader,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
COHR,Speculative Optionality,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
CRDO,Speculative Optionality,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
HOOD,Speculative Optionality,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
LITE,Speculative Optionality,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
META,Core Compounder,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
MU,Momentum Leader,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
NVDA,Momentum Leader,100.0,0.0,100.0,0.0,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Missing data: EPSGrowth, FCFMargin, GrossMargin, OperatingMargin, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, FCFMargin, GrossMargin, OperatingMargin, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
QQQ,ETF / Defensive / Hedge,,,40.0,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
SMH,ETF / Defensive / Hedge,,,,0.0,Insufficient Data,"Fundamentals are unavailable, so valuation and quality cannot be verified. Missing data: fundamentals unavailable.",fundamentals unavailable
TSLA,Core Compounder,42.86,0.0,0.0,20.0,Insufficient Data,"Available fundamentals are too incomplete to support a reliable value classification. Trap flags: declining revenue. Missing data: EPSGrowth, FCFMargin, GrossMargin, OperatingMargin, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield.","EPSGrowth, FCFMargin, GrossMargin, OperatingMargin, ForwardPE, EVToSales, EVToEBITDA, PriceToFCF, FCFYield"
